category,source_name,account_number,amount_lkr,amount_foreign,foreign_currency,exchange_rate,received_date,wht_deducted,paye_deducted,description
salary,Acme Corp,,4800000.00,,,,,,720000.00,Annual salary – FY 2025/26
interest,Lanka Bank,FD-100001,85000.00,,,,,8500.00,,Lanka Bank FD interest
interest,Lanka Bank,FD-100002,65000.00,,,,,6500.00,,Lanka Bank FD interest
interest,Lanka Bank,FD-100003,45000.00,,,,,4500.00,,Lanka Bank FD interest
interest,Island Finance,FD-200001,72000.00,,,,,7200.00,,Island Finance FD interest
interest,Island Finance,FD-200002,55000.00,,,,,5500.00,,Island Finance FD interest
interest,Island Finance,FD-200003,38000.00,,,,,3800.00,,Island Finance FD interest
interest,Metro Bank,SA-300001,12500.00,,,,,1250.00,,Metro Bank savings interest
interest,Metro Bank,FD-300002,92000.00,,,,,9200.00,,Metro Bank FD interest
interest,Metro Bank,FD-300003,48000.00,,,,,4800.00,,Metro Bank FD interest
interest,Metro Bank,FD-300004,35000.00,,,,,3500.00,,Metro Bank FD interest
interest,Metro Bank,FD-300005,28000.00,,,,,2800.00,,Metro Bank FD interest
interest,Metro Bank,FD-300006,62000.00,,,,,6200.00,,Metro Bank FD interest
foreign_employment,Overseas Consulting,,350000.00,1200.00,USD,291.67,2025-04-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,365000.00,1250.00,USD,292.00,2025-05-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,380000.00,1300.00,USD,292.31,2025-06-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,395000.00,1350.00,USD,292.59,2025-07-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,410000.00,1400.00,USD,292.86,2025-08-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,420000.00,1425.00,USD,294.74,2025-09-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,430000.00,1450.00,USD,296.55,2025-10-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,440000.00,1475.00,USD,298.31,2025-11-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,445000.00,1490.00,USD,298.66,2025-12-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,450000.00,1500.00,USD,300.00,2026-01-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,455000.00,1510.00,USD,301.32,2026-02-15,,,USD remote consulting
foreign_employment,Overseas Consulting,,460000.00,1520.00,USD,302.63,2026-03-15,,,USD remote consulting
